WORKER,architecture,dropout,layer_1_size,layer_2_size,layer_3_size,model_id,pooling,pretrained_model_name,sequence_length,sequence_model,sequence_model_layers
1,video_LRCNN_frozen,0.2,128,128,512,5189,max,resnet50,10,GRU,2.0
2,video_LRCNN_frozen,0.2,128,128,128,5203,max,resnet50,10,SimpleRNN,2.0
3,video_LRCNN_frozen,0.2,128,128,0,5209,max,resnet50,10,LSTM,2.0
4,video_LRCNN_frozen,0.2,128,0,0,5240,max,resnet50,10,LSTM,1.0
5,video_lrcnn_frozen,0.2,256,512,256,5256,max,vgg16,15,LSTM,2.0
6,video_lrcnn_frozen,0.2,256,128,0,5257,max,vgg16,15,SimpleRNN,2.0
7,video_lrcnn_frozen,0.2,512,256,0,5258,max,vgg16,15,SimpleRNN,2.0
0,video_lrcnn_frozen,0.2,512,128,128,5259,max,vgg16,15,GRU,2.0
1,video_lrcnn_frozen,0.2,512,128,512,5260,max,vgg16,15,LSTM,1.0
2,video_lrcnn_frozen,0.2,128,512,512,5261,max,vgg16,15,GRU,2.0
3,video_lrcnn_frozen,0.2,256,128,256,5262,max,vgg16,15,SimpleRNN,2.0
4,video_lrcnn_frozen,0.2,256,512,128,5263,max,vgg16,15,GRU,2.0
5,video_lrcnn_frozen,0.2,256,512,256,5264,max,vgg16,15,SimpleRNN,2.0
6,video_lrcnn_frozen,0.2,256,128,512,5265,max,vgg16,15,SimpleRNN,2.0
7,video_lrcnn_frozen,0.2,128,256,512,5266,max,vgg16,15,GRU,2.0
0,video_lrcnn_frozen,0.2,512,512,512,5267,max,vgg16,15,SimpleRNN,2.0
1,video_lrcnn_frozen,0.2,512,128,512,5268,max,vgg16,15,GRU,2.0
2,video_lrcnn_frozen,0.2,256,128,512,5269,max,vgg16,15,GRU,2.0
3,video_lrcnn_frozen,0.2,128,512,512,5270,max,vgg16,15,LSTM,2.0
4,video_lrcnn_frozen,0.2,512,128,128,5271,max,resnet50,15,GRU,2.0
5,video_lrcnn_frozen,0.2,256,256,128,5272,max,vgg16,15,LSTM,2.0
6,video_lrcnn_frozen,0.2,128,256,512,5273,max,vgg16,15,LSTM,2.0
7,video_lrcnn_frozen,0.2,512,256,512,5274,max,vgg16,15,SimpleRNN,2.0
0,video_lrcnn_frozen,0.2,128,256,256,5275,max,vgg16,15,LSTM,1.0
1,video_lrcnn_frozen,0.2,256,512,256,5276,max,vgg16,20,LSTM,2.0
2,video_lrcnn_frozen,0.2,256,128,0,5277,max,vgg16,20,SimpleRNN,2.0
3,video_lrcnn_frozen,0.2,512,256,0,5278,max,vgg16,20,SimpleRNN,2.0
4,video_lrcnn_frozen,0.2,512,128,128,5279,max,vgg16,20,GRU,2.0
5,video_lrcnn_frozen,0.2,512,128,512,5280,max,vgg16,20,LSTM,1.0
6,video_lrcnn_frozen,0.2,128,512,512,5281,max,vgg16,20,GRU,2.0
7,video_lrcnn_frozen,0.2,256,128,256,5282,max,vgg16,20,SimpleRNN,2.0
0,video_lrcnn_frozen,0.2,256,512,128,5283,max,vgg16,20,GRU,2.0
1,video_lrcnn_frozen,0.2,256,512,256,5284,max,vgg16,20,SimpleRNN,2.0
2,video_lrcnn_frozen,0.2,256,128,512,5285,max,vgg16,20,SimpleRNN,2.0
3,video_lrcnn_frozen,0.2,128,256,512,5286,max,vgg16,20,GRU,2.0
4,video_lrcnn_frozen,0.2,512,512,512,5287,max,vgg16,20,SimpleRNN,2.0
5,video_lrcnn_frozen,0.2,512,128,512,5288,max,vgg16,20,GRU,2.0
6,video_lrcnn_frozen,0.2,256,128,512,5289,max,vgg16,20,GRU,2.0
7,video_lrcnn_frozen,0.2,128,512,512,5290,max,vgg16,20,LSTM,2.0
0,video_lrcnn_frozen,0.2,512,128,128,5291,max,resnet50,20,GRU,2.0
1,video_lrcnn_frozen,0.2,256,256,128,5292,max,vgg16,20,LSTM,2.0
2,video_lrcnn_frozen,0.2,128,256,512,5293,max,vgg16,20,LSTM,2.0
3,video_lrcnn_frozen,0.2,512,256,512,5294,max,vgg16,20,SimpleRNN,2.0
4,video_lrcnn_frozen,0.2,128,256,256,5295,max,vgg16,20,LSTM,1.0
